Dress me for:,And:,And:,And:,And:,And:,And:,And:,And:,And:,And:,Also:,Also:,Also:,With:,With:,With:,With:,With:,With:,Date:,Anything else?
Wedding/Gala,It's black tie optional,It's black tie,It's beach formal,It's semi-formal,It's casual,It's white tie,,,,,It's on the beach,It's outdoors,It's indoors,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Date,She/he might be the one,It's a blind date,It's a first date,Not sure how I feel,I'm not that into him/her,,,,,,I want to look cool,I want to look laid back,,,,,,,,Calendar/ Anytime,type in
Meeting the parents,They're conservative,They're laid back,,,,,,,,,We're going somewhere fancy,We're going somewhere casual,,,,,,,,Calendar/ Anytime,type in
Outdoor music festival,It's one day,It's two days,It's 3 days,,,,,,,,I'm camping,I'm staying in a hotel/home,,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Concert,It's rock,It's pop,It's electronic,It's country,It's jazz/ blues,It's rap/ hip-hop,It's indie,It's metal,It's soul/ r&b,It's reggae,It's indoors,It's outdoors,,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Work,It's business casual,It's business formal,It's casual,It's fashiony,,,,,,,I'm trying to get a promotion,I have a crush on a co-worker,I'm out and about a lot,,,,,,,Calendar/ Anytime,type in
Weekend wear,I live in the city,I live in the suburbs,I live in the country,,,,,,,,I walk around a lot,I'm in the car a lot,I'm mostly indoors,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Going out,I'm clubbing,I'm going to a dive bar,I'm going to a lounge,I'm going to a house party,,,,,,,It's indoors,It's outdoors,,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Picnic/BBQ,,,,,,,,,,,,,,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Pool/Beach Party,,,,,,,,,,,,,,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Vacation,I'm going somewhere Tropical,I'm going on a road trip,I'm going to Europe,I'm going to Asia,I'm going to Africa,I'm going to South America,I'm going ot North America,I'm going to Antarctica,I'm going on a cruise,I'm going to Australia,It's relaxing,It's active,It's a mix,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Hiking,,,,,,,,,,,,,,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Church/Synagogue,There's no dress code,I need to cover my shoulders,I need to cover my shoulders/knees,,,,,,,,,,,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Bar/Bat mitzvah/Sweet 16/Quinceanera,It's black tie optional,It's black tie,It's beach formal,It's semi-formal,It's casual,It's white tie,,,,,It's outdoors,It's indoors,,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Holiday party,It's ugly sweater themed,It's formal,It's cocktail attire,It's casual,It's fashiony,,,,,,It's outdoors,It's indoors,,bf/gf,Family,Friends,Co-workers,Myself,My crush,Calendar/ Anytime,type in
Other,,,,,,,,,,,,,,,,,,,,,
